ID_Oficial,Nombre,Distrito,Bloque,Mandato,Inicio_Mandato,Fin_Mandato,Fecha_Nacimiento,URL_Perfil
jpeluc,"Peluc, José",SAN JUAN,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1972-10-10,https://www.diputados.gov.ar/diputados/jpeluc/
ppenacca,"Penacca, Paula Andrea",CIUDAD DE BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1981-04-27,https://www.diputados.gov.ar/diputados/ppenacca/
lpetri,"Petri, Luis",MENDOZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1977-04-01,https://www.diputados.gov.ar/diputados/lpetri/
mpetrovich,"Petrovich, María Lorena",BUENOS AIRES,LA LIBERTAD AVANZA,2023-2027,2025-12-10,2027-12-09,1979-10-23,https://www.diputados.gov.ar/diputados/mpetrovich/
lpicat,"Picat, Luis Albino",CORDOBA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1974-06-03,https://www.diputados.gov.ar/diputados/lpicat/
mpichetto,"Pichetto, Miguel Ángel",BUENOS AIRES,ENCUENTRO FEDERAL,2023-2027,2023-12-10,2027-12-09,1950-10-24,https://www.diputados.gov.ar/diputados/mpichetto/
npiconm,"Picón Martínez, Nancy Viviana",SAN JUAN,PRODUCCION Y TRABAJO,2023-2027,2023-12-10,2027-12-09,1975-12-05,https://www.diputados.gov.ar/diputados/npiconm/
hpietragallac,"Pietragalla Corti, Horacio",BUENOS AIRES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1976-03-11,https://www.diputados.gov.ar/diputados/hpietragallac/
npitrola,"Pitrola, Nestor",BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,2023-2027,2025-12-10,2027-12-09,1952-04-01,https://www.diputados.gov.ar/diputados/npitrola/
lpokoikg,"Pokoik, Lorena",CIUDAD DE BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1972-12-24,https://www.diputados.gov.ar/diputados/lpokoikg/
mponce,"Ponce, María Celeste",CORDOBA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1987-12-30,https://www.diputados.gov.ar/diputados/mponce/
lpotenza,"Potenza, Luciana",BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1994-11-01,https://www.diputados.gov.ar/diputados/lpotenza/
apropato,"Propato, Agustina Lucrecia",BUENOS AIRES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1982-06-25,https://www.diputados.gov.ar/diputados/apropato/
mquintar,"Quintar, Manuel",JUJUY,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1982-01-18,https://www.diputados.gov.ar/diputados/mquintar/
arauschenberger,"Rauschenberger, Ariel",LA PAMPA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1966-04-23,https://www.diputados.gov.ar/diputados/arauschenberger/
vravera,"Ravera, Valentina",SANTA FE,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,2000-10-20,https://www.diputados.gov.ar/diputados/vravera/
aravier,"Ravier, Adrián",LA PAMPA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1978-11-29,https://www.diputados.gov.ar/diputados/aravier/
vrazzini,"Razzini, Verónica",SANTA FE,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1980-02-14,https://www.diputados.gov.ar/diputados/vrazzini/
kreichardt,"Reichardt, Karen",BUENOS AIRES,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1969-05-21,https://www.diputados.gov.ar/diputados/kreichardt/
griesco,"Riesco, Gastón",NEUQUEN,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1987-07-04,https://www.diputados.gov.ar/diputados/griesco/
critondo,"Ritondo, Cristian A.",BUENOS AIRES,PRO,2023-2027,2023-12-10,2027-12-09,1966-07-27,https://www.diputados.gov.ar/diputados/critondo/
jrizzotti,"Rizzotti, Jorge",JUJUY,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,1962-02-02,https://www.diputados.gov.ar/diputados/jrizzotti/
sroberto,"Roberto, Santiago Luis",CIUDAD DE BUENOS AIRES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1972-08-28,https://www.diputados.gov.ar/diputados/sroberto/
groca,"Roca, Gonzalo",CORDOBA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1979-01-29,https://www.diputados.gov.ar/diputados/groca/
